YEAR DAY  HR    RAD_AU      HGI_LAT   HGI_LON
2023  24  22    0.9842    -5.428    48.343
2023  24  23    0.9842    -5.432    48.386
2023  25   0    0.9842    -5.435    48.428
2023  25   1    0.9842    -5.439    48.471
2023  25   2    0.9842    -5.443    48.513
2023  25   3    0.9842    -5.446    48.556
2023  25   4    0.9842    -5.450    48.598
2023  25   5    0.9842    -5.453    48.640
2023  25   6    0.9842    -5.457    48.683
2023  25   7    0.9842    -5.460    48.725
2023  25   8    0.9842    -5.464    48.768
2023  25   9    0.9843    -5.467    48.810
2023  25  10    0.9843    -5.471    48.853
2023  25  11    0.9843    -5.474    48.895
2023  25  12    0.9843    -5.478    48.937
2023  25  13    0.9843    -5.481    48.980
2023  25  14    0.9843    -5.485    49.022
2023  25  15    0.9843    -5.488    49.065
2023  25  16    0.9843    -5.492    49.107
2023  25  17    0.9843    -5.495    49.150
2023  25  18    0.9843    -5.499    49.192
2023  25  19    0.9843    -5.502    49.234
2023  25  20    0.9843    -5.506    49.277
2023  25  21    0.9843    -5.509    49.319
2023  25  22    0.9843    -5.513    49.362
2023  25  23    0.9843    -5.516    49.404
2023  26   0    0.9843    -5.520    49.447
2023  26   1    0.9843    -5.523    49.489
2023  26   2    0.9843    -5.526    49.532
2023  26   3    0.9843    -5.530    49.574
2023  26   4    0.9843    -5.533    49.616
2023  26   5    0.9843    -5.537    49.659
2023  26   6    0.9843    -5.540    49.701
2023  26   7    0.9844    -5.544    49.744
2023  26   8    0.9844    -5.547    49.786
2023  26   9    0.9844    -5.551    49.829
2023  26  10    0.9844    -5.554    49.871
2023  26  11    0.9844    -5.558    49.913
2023  26  12    0.9844    -5.561    49.956
2023  26  13    0.9844    -5.564    49.998
2023  26  14    0.9844    -5.568    50.041
2023  26  15    0.9844    -5.571    50.083
2023  26  16    0.9844    -5.575    50.126
2023  26  17    0.9844    -5.578    50.168
2023  26  18    0.9844    -5.581    50.210
2023  26  19    0.9844    -5.585    50.253
2023  26  20    0.9844    -5.588    50.295
2023  26  21    0.9844    -5.592    50.338
2023  26  22    0.9844    -5.595    50.380
2023  26  23    0.9844    -5.599    50.423
2023  27   0    0.9844    -5.602    50.465
2023  27   1    0.9844    -5.605    50.507
2023  27   2    0.9844    -5.609    50.550
2023  27   3    0.9844    -5.612    50.592
2023  27   4    0.9844    -5.615    50.635
2023  27   5    0.9845    -5.619    50.677
2023  27   6    0.9845    -5.622    50.720
2023  27   7    0.9845    -5.626    50.762
2023  27   8    0.9845    -5.629    50.804
2023  27   9    0.9845    -5.632    50.847
2023  27  10    0.9845    -5.636    50.889
2023  27  11    0.9845    -5.639    50.932
2023  27  12    0.9845    -5.642    50.974
2023  27  13    0.9845    -5.646    51.017
2023  27  14    0.9845    -5.649    51.059
2023  27  15    0.9845    -5.652    51.101
2023  27  16    0.9845    -5.656    51.144
2023  27  17    0.9845    -5.659    51.186
2023  27  18    0.9845    -5.663    51.229
2023  27  19    0.9845    -5.666    51.271
2023  27  20    0.9845    -5.669    51.314
2023  27  21    0.9845    -5.673    51.356
2023  27  22    0.9845    -5.676    51.398
2023  27  23    0.9845    -5.679    51.441
2023  28   0    0.9845    -5.682    51.483
2023  28   1    0.9845    -5.686    51.526
2023  28   2    0.9846    -5.689    51.568
